TT,ID,As,Fe,Mn,pH,Hardness,Coliforms,EC,X,Y,YLat,XLong,X-WGS84,Y-WGS84,Iddist
106,NN_KN51,0.699,0.5915,0.008,6.4,69,40,170,447528.9462,1359561.857,12.2933,108.0194,1360790.373,175756.0996,KNo
82,NN_KN52,0.452,3.919,2.64,6.5,122,2000,310,443413.7925,1356545.964,12.266,107.9816,1357809.917,171609.0412,KNo
126,NN_KN53,1.493,0.1204,0.02,7.4,77,70,380,443413.7925,1356545.964,12.266,107.9816,1357809.917,171609.0412,KNo
531,NN_KN54,0.76,0.2874,0.012,6.3,21,2800,170,425934.2127,1374087.725,12.4242,107.8205,1375532.815,154275.8137,KNo
195,NN_KN56,1.308,0.0388,0.01,7,84,70,330,425384.6607,1381144.419,12.488,107.8132,1382602.235,153561.6477,KNo
566,NN_KN57,1.201,0.0041,0.001,6.1,110,0.1,290,423896.2211,1381197.48,12.4884,107.8016,1382669.43,152302.7052,KNo
532,NN_KN58,1.482,0.0772,0.003,6.5,91,40,370,422499.3246,1381606.826,12.4921,107.7888,1383092.434,150908.1654,KNo
295,NN_KN59,2.046,0.3575,0.049,7.7,49,40,570,422411.622,1381554.823,12.4916,107.788,1383041.204,150819.8752,KNo
236,NN_KN6,2.047,0.3475,0.012,7.5,69,70,590,431183.7956,1385708.503,12.5294,107.8684,1387116.182,159616.7485,KNo
96,NN_KN60,1.861,0.0074,0.002,7.8,276,40,990,418047.5854,1378023.853,12.4596,107.7479,1379547.567,146417.6523,KNo
274,NN_KN61,0.959,5.048,1.45,6.2,103,150,2700,418002.4546,1378082.366,12.4601,107.7475,1379606.572,146373.0231,KNo
21,NN_KN62,0.67,0.3952,0.016,7.1,58,110,170,421128.2054,1380390.612,12.4811,107.7762,1381887.855,149524.0444,KNo
265,NN_KN63,2.048,0.0202,0.007,7.8,39,0.1,550,425143.3079,1381221.866,12.4887,107.8131,1382682.048,153551.3645,KNo
151,NN_KN64,1.58,0.2373,0.009,6.5,181,210,460,432987.9676,1377438.339,12.4547,107.8853,1378820.475,161368.4933,KNo
226,NN_KN65,1.921,0.0508,0.03,7.1,219,90,550,433241.5913,1377422.388,12.4545,107.8877,1378802.116,161622.2249,KNo
202,NN_KN66,2.095,0.0675,0.011,6.8,285,70,780,430239.488,1375988.328,12.4415,107.8601,1377394.881,158603.5174,KNo
254,NN_KN67,1.94,0.2793,0.781,6.8,197,40,530,430432.9624,1376070.828,12.4422,107.8619,1377475.644,158797.1925,KNo
137,NN_KN68,1.788,2.073,0.239,6.5,186,40,470,431683.2186,1376073.991,12.4423,107.8734,1377467.03,160049.5469,KNo
231,NN_KN69,1.32,0.3011,0.635,6.5,116,90,340,431692.627,1376221.465,12.4436,107.8735,1377614.567,160060.3546,KNo
261,NN_KN7,1.699,0.0152,0.003,7.9,19,70,440,431119.6907,1385413.664,12.5267,107.868,1386821.647,159573.7333,KNo
533,NN_KN70,0.661,0.051,0.002,7.2,49,150,170,441692.0455,1376519.13,12.4465,107.9658,1377818.298,170109.059,KNo
112,NN_KN71,0.445,0.2826,0.008,7.1,23,70,100,443287.7292,1380212.492,12.4799,107.98,1381500.132,171704.5837,KNo
86,NN_KN72,0.707,0.1753,0.007,6.8,50,40,170,443266.1909,1378473.348,12.4642,107.9799,1379759.539,171666.6029,KNo
192,NN_KN73,1.435,0.5365,0.159,6.4,134,40,360,426565.7209,1377770.461,12.4575,107.8263,1379213.523,154942.6933,KNo
156,NN_KN74,0.766,0.6826,0.529,6.1,58,70,190,426632.5772,1377936.225,12.459,107.8269,1379378.832,155011.1846,KNo
208,NN_KN75,1.126,0.0292,0.008,7.3,108,150,300,427331.9232,1378644.284,12.4654,107.8333,1380081.041,155717.9543,KNo
276,NN_KN76,1.248,0.0342,0.918,6.3,112,40,310,427446.2375,1378471.916,12.4639,107.8343,1379907.412,155830.7623,KNo
249,NN_KN77,1.767,1.511,1.1,7.3,174,90,480,428044.6004,1378657.862,12.4656,107.8398,1380087.906,156431.5115,KNo
385,NN_KN78,0.968,0.0879,0.11,5.8,45,70,240,439209.2253,1363283.692,12.3268,107.9428,1364593.306,167463.1547,KNo
88,NN_KN79,0.985,0.0601,0.621,5.9,53,40,240,439104.2849,1363668.005,12.3303,107.9419,1364978.975,167361.6996,KNo
146,NN_KN8,1.215,0.1121,0.074,7,86,90,310,433395.5756,1380027.779,12.4781,107.889,1381408.704,161800.9603,KNo
77,NN_KN80,2.213,0.0298,0.341,5.9,117,0.1,770,439001.8096,1363784.984,12.3314,107.9409,1365097.026,167260.2161,KNo
272,NN_KN81,2.053,0.4134,0.042,7,152,40,580,438865.961,1363834.432,12.3318,107.9397,1365147.791,167124.696,KNo
23,NN_KN82,0.815,0.0308,0.221,5.6,39,0.1,190,439146.1645,1363468.188,12.3285,107.9423,1364778.571,167403.6202,KNo
534,NN_KN83,0.503,0.0657,0.005,6,49,70,120,440197.9747,1362206.187,12.3171,107.9534,1363505.522,168595.4398,KNo
80,NN_KN84,0.6,0.4515,0.16,5.9,29,40,140,440095.452,1362304.725,12.318,107.951,1363605.113,168341.1116,KNo
386,NN_KN85,0.533,0.0359,0.025,5.6,22,150,130,438982.9052,1363413.22,12.328,107.9408,1364725.074,167237.822,KNo
127,NN_KN86,2.03,0.0385,0.408,6.9,174,40,570,439055.5292,1363468.377,12.3285,107.9414,1364779.607,167311.0322,KNo
167,NN_KN87,2.147,0.907,3.28,6.2,159,40,810,437333.9464,1366510.99,12.356,107.9253,1367841.311,165587.7513,KNo
15,NN_KN88,1.286,0.008,0.376,5.6,51,150,340,437879.7801,1366067.342,12.352,107.9306,1367392.117,166158.4133,KNo
124,NN_KN89,0.8,0.766,0.408,5.9,17,2800,80,437867.7226,1366079.659,12.3521,107.9305,1367404.559,166146.4591,KNo
522,NN_KN9,1.426,0.0241,0.045,5.9,57,70,360,433295.3708,1379785.258,12.4759,107.8881,1381166.883,161698.3623,KNo
387,NN_KN90,0.752,0.049,0.424,6.2,48,280,200,437951.4703,1365686.166,12.3485,107.9312,1367009.894,166226.6093,KNo
388,NN_KN91,0.404,0.272,0.036,5.3,22,200,90,437898.2304,1379045.493,12.4693,107.9305,1380382.906,166298.8459,KNo
139,NN_KN92,1.2,0.815,1.23,6,115,0.1,290,437916.1586,1366268.838,12.3538,107.9309,1367593.472,166196.7126,KNo
297,NN_KN93,1.357,1.529,0.36,6.8,141,40,340,438193.1445,1364259.891,12.3356,107.9337,1365579.953,166476.2375,KNo
16,NN_KN94,0.561,0.015,1.1,5.6,33,40,130,438340.8212,1364090.576,12.3341,107.9348,1365409.091,166601.432,KNo
553,NN_KN95,0.928,0.107,1.96,5.6,65,0.1,220,438651.7572,1363976.229,12.3331,107.9377,1365291.728,166911.606,KNo
389,NN_KN96,1.153,0.03,0.733,5.4,55,750,230,438135.3852,1364091.011,12.3341,107.933,1365411.446,166395.7975,KNo
